"Time","dt_sound_level_dB"
2022-02-20 00:00:00,52
2022-02-20 00:01:00,48
2022-02-20 00:02:00,50
2022-02-20 00:03:00,52
2022-02-20 00:04:00,51
2022-02-20 00:05:00,51
2022-02-20 00:06:00,51
2022-02-20 00:07:00,51
2022-02-20 00:08:00,54
2022-02-20 00:09:00,48
2022-02-20 00:10:00,57
2022-02-20 00:11:00,51
2022-02-20 00:12:00,50
2022-02-20 00:13:00,47
2022-02-20 00:14:00,51
2022-02-20 00:15:00,52
2022-02-20 00:16:00,53
2022-02-20 00:17:00,46
2022-02-20 00:18:00,49
2022-02-20 00:19:00,47
2022-02-20 00:20:00,51
2022-02-20 00:21:00,53
2022-02-20 00:52:00,49
2022-02-20 00:53:00,54
2022-02-20 00:54:00,49
2022-02-20 00:55:00,50
2022-02-20 00:56:00,48
2022-02-20 00:57:00,49
2022-02-20 00:58:00,49
2022-02-20 00:59:00,49
2022-02-20 01:00:00,49
2022-02-20 01:01:00,47
2022-02-20 01:12:00,51
2022-02-20 01:13:00,51
2022-02-20 01:14:00,52
2022-02-20 01:15:00,51
2022-02-20 01:16:00,48
2022-02-20 01:17:00,49
2022-02-20 01:18:00,51
2022-02-20 01:19:00,49
2022-02-20 01:20:00,49
2022-02-20 01:22:00,52
2022-02-20 01:33:00,55
2022-02-20 01:34:00,47
2022-02-20 01:35:00,50
2022-02-20 01:36:00,55
2022-02-20 01:37:00,55
2022-02-20 01:38:00,55
2022-02-20 01:39:00,53
2022-02-20 01:40:00,49
2022-02-20 01:41:00,50
2022-02-20 01:42:00,48
2022-02-20 01:43:00,56
2022-02-20 01:44:00,49
2022-02-20 01:45:00,50
2022-02-20 01:46:00,52
2022-02-20 01:47:00,48
2022-02-20 01:48:00,50
2022-02-20 01:49:00,52
2022-02-20 01:50:00,49
2022-02-20 01:51:00,51
2022-02-20 01:52:00,50
2022-02-20 01:53:00,50
2022-02-20 01:54:00,47
2022-02-20 01:55:00,52
2022-02-20 01:56:00,51
2022-02-20 01:57:00,47
2022-02-20 01:58:00,51
2022-02-20 01:59:00,54
2022-02-20 02:00:00,47
2022-02-20 02:01:00,50
2022-02-20 02:02:00,52
2022-02-20 02:03:00,46
2022-02-20 02:04:00,55
2022-02-20 02:05:00,50
2022-02-20 02:06:00,49
2022-02-20 02:07:00,52
2022-02-20 02:08:00,50
2022-02-20 02:09:00,48
2022-02-20 02:10:00,54
2022-02-20 02:11:00,51
2022-02-20 02:33:00,57
2022-02-20 02:34:00,53
2022-02-20 02:35:00,57
2022-02-20 02:36:00,54
2022-02-20 02:37:00,55
2022-02-20 02:38:00,50
2022-02-20 02:39:00,52
2022-02-20 02:40:00,49
2022-02-20 02:41:00,51
2022-02-20 02:42:00,50
2022-02-20 06:52:00,59
2022-02-20 06:53:00,62
2022-02-20 06:54:00,56
2022-02-20 06:55:00,59
2022-02-20 06:56:00,56
2022-02-20 06:57:00,58
2022-02-20 06:58:00,55
2022-02-20 06:59:00,52
2022-02-20 07:00:00,51
2022-02-20 07:01:00,52
2022-02-20 07:12:00,49
2022-02-20 07:13:00,52
2022-02-20 07:14:00,47
2022-02-20 07:15:00,52
2022-02-20 07:16:00,48
2022-02-20 07:18:00,51
2022-02-20 07:19:00,50
2022-02-20 07:20:00,51
2022-02-20 07:21:00,49
2022-02-20 07:22:00,53
2022-02-20 07:23:00,49
2022-02-20 07:24:00,49
2022-02-20 07:25:00,50
2022-02-20 07:26:00,47
2022-02-20 07:27:00,49
2022-02-20 07:28:00,51
2022-02-20 07:29:00,50
2022-02-20 07:30:00,49
2022-02-20 07:31:00,48
2022-02-20 07:32:00,47
2022-02-20 07:43:00,47
2022-02-20 07:44:00,51
2022-02-20 07:45:00,48
2022-02-20 07:46:00,46
2022-02-20 07:47:00,52
2022-02-20 07:48:00,49
2022-02-20 07:49:00,53
2022-02-20 07:50:00,49
2022-02-20 07:51:00,46
2022-02-20 07:52:00,53
2022-02-20 07:53:00,55
2022-02-20 07:54:00,53
2022-02-20 07:55:00,52
2022-02-20 07:56:00,47
2022-02-20 07:57:00,51
2022-02-20 07:58:00,53
2022-02-20 07:59:00,48
2022-02-20 08:00:00,52
2022-02-20 08:01:00,55
2022-02-20 08:02:00,51
2022-02-20 08:03:00,51
2022-02-20 08:04:00,52
2022-02-20 08:05:00,51
2022-02-20 08:06:00,54
2022-02-20 08:07:00,50
2022-02-20 08:08:00,50
2022-02-20 08:09:00,51
2022-02-20 08:10:00,51
2022-02-20 08:11:00,49
2022-02-20 08:23:00,52
2022-02-20 08:24:00,52
2022-02-20 08:25:00,52
2022-02-20 08:26:00,54
2022-02-20 08:27:00,52
2022-02-20 08:28:00,55
2022-02-20 08:29:00,52
2022-02-20 08:30:00,50
2022-02-20 08:31:00,53
2022-02-20 08:32:00,51
2022-02-20 08:53:00,57
2022-02-20 08:54:00,58
2022-02-20 08:55:00,58
2022-02-20 08:56:00,62
2022-02-20 08:57:00,62
2022-02-20 08:58:00,64
2022-02-20 08:59:00,59
2022-02-20 09:00:00,56
2022-02-20 09:01:00,54
2022-02-20 09:33:00,63
2022-02-20 09:34:00,61
2022-02-20 09:35:00,58
2022-02-20 09:36:00,55
2022-02-20 09:37:00,57
2022-02-20 09:38:00,59
2022-02-20 09:39:00,58
2022-02-20 09:40:00,55
2022-02-20 09:41:00,58
2022-02-20 09:42:00,55
2022-02-20 09:43:00,53
2022-02-20 09:44:00,56
2022-02-20 09:45:00,54
2022-02-20 09:46:00,53
2022-02-20 09:47:00,62
