"Time","dt_sound_level_dB"
2022-02-20 00:05:00,54
2022-02-20 00:06:00,49
2022-02-20 00:07:00,54
2022-02-20 00:08:00,51
2022-02-20 00:09:00,48
2022-02-20 00:10:00,51
2022-02-20 00:11:00,51
2022-02-20 00:12:00,49
2022-02-20 00:13:00,50
2022-02-20 00:14:00,53
2022-02-20 00:24:00,46
2022-02-20 00:25:00,46
2022-02-20 00:26:00,46
2022-02-20 00:27:00,47
2022-02-20 00:28:00,48
2022-02-20 00:29:00,47
2022-02-20 00:30:00,48
2022-02-20 00:31:00,46
2022-02-20 00:33:00,47
2022-02-20 00:34:00,47
2022-02-20 00:35:00,47
2022-02-20 00:36:00,47
2022-02-20 00:37:00,47
2022-02-20 00:38:00,47
2022-02-20 00:39:00,48
2022-02-20 00:40:00,48
2022-02-20 00:41:00,46
2022-02-20 00:42:00,47
2022-02-20 00:43:00,46
2022-02-20 00:44:00,48
2022-02-20 00:55:00,47
2022-02-20 00:56:00,47
2022-02-20 00:57:00,47
2022-02-20 00:58:00,46
2022-02-20 00:59:00,45
2022-02-20 01:00:00,46
2022-02-20 01:01:00,48
2022-02-20 01:02:00,47
2022-02-20 01:03:00,48
2022-02-20 01:04:00,46
2022-02-20 01:35:00,47
2022-02-20 01:36:00,47
2022-02-20 01:37:00,46
2022-02-20 01:38:00,47
2022-02-20 01:39:00,48
2022-02-20 01:40:00,46
2022-02-20 01:41:00,46
2022-02-20 01:42:00,47
2022-02-20 01:43:00,47
2022-02-20 01:44:00,46
2022-02-20 02:24:00,47
2022-02-20 02:25:00,46
2022-02-20 02:26:00,48
2022-02-20 02:27:00,45
2022-02-20 02:28:00,47
2022-02-20 02:29:00,47
2022-02-20 02:30:00,46
2022-02-20 02:31:00,46
2022-02-20 02:32:00,46
2022-02-20 02:33:00,45
2022-02-20 02:35:00,46
2022-02-20 02:36:00,46
2022-02-20 02:37:00,46
2022-02-20 02:38:00,47
2022-02-20 02:39:00,46
2022-02-20 02:40:00,47
2022-02-20 02:41:00,46
2022-02-20 02:42:00,46
2022-02-20 02:43:00,47
2022-02-20 02:44:00,46
2022-02-20 02:45:00,46
2022-02-20 02:46:00,46
2022-02-20 02:47:00,46
2022-02-20 02:48:00,47
2022-02-20 02:49:00,45
2022-02-20 02:50:00,46
2022-02-20 02:51:00,47
2022-02-20 02:52:00,47
2022-02-20 02:53:00,47
2022-02-20 02:54:00,46
2022-02-20 06:45:00,49
2022-02-20 06:46:00,48
2022-02-20 06:47:00,47
2022-02-20 06:48:00,47
2022-02-20 06:49:00,47
2022-02-20 06:50:00,48
2022-02-20 06:51:00,46
2022-02-20 06:52:00,47
2022-02-20 06:53:00,48
2022-02-20 06:54:00,46
2022-02-20 07:05:00,47
2022-02-20 07:06:00,46
2022-02-20 07:07:00,47
2022-02-20 07:08:00,48
2022-02-20 07:09:00,47
2022-02-20 07:10:00,46
2022-02-20 07:11:00,46
2022-02-20 07:12:00,47
2022-02-20 07:13:00,46
2022-02-20 07:14:00,46
2022-02-20 07:25:00,46
2022-02-20 07:26:00,46
2022-02-20 07:27:00,46
2022-02-20 07:28:00,47
2022-02-20 07:29:00,47
2022-02-20 07:30:00,48
2022-02-20 07:31:00,48
2022-02-20 07:32:00,46
2022-02-20 07:33:00,46
2022-02-20 07:34:00,47
2022-02-20 07:35:00,46
2022-02-20 07:36:00,46
2022-02-20 07:37:00,47
2022-02-20 07:38:00,47
2022-02-20 07:39:00,46
2022-02-20 07:40:00,47
2022-02-20 07:41:00,46
2022-02-20 07:42:00,48
2022-02-20 07:43:00,47
2022-02-20 07:44:00,46
2022-02-20 08:55:00,48
2022-02-20 08:56:00,50
2022-02-20 08:57:00,47
2022-02-20 08:58:00,48
2022-02-20 08:59:00,47
2022-02-20 09:00:00,47
2022-02-20 09:01:00,49
2022-02-20 09:02:00,50
2022-02-20 09:03:00,47
2022-02-20 09:04:00,47
2022-02-20 09:15:00,49
2022-02-20 09:16:00,47
2022-02-20 09:17:00,49
2022-02-20 09:18:00,48
2022-02-20 09:19:00,48
2022-02-20 09:20:00,47
2022-02-20 09:21:00,51
2022-02-20 09:22:00,47
2022-02-20 09:24:00,50
2022-02-20 09:25:00,48
2022-02-20 09:35:00,50
2022-02-20 09:36:00,50
2022-02-20 09:37:00,52
2022-02-20 09:38:00,50
2022-02-20 09:39:00,48
2022-02-20 09:40:00,49
2022-02-20 09:41:00,49
2022-02-20 09:42:00,49
2022-02-20 09:43:00,50
2022-02-20 09:44:00,51
2022-02-20 09:45:00,48
2022-02-20 09:46:00,48
2022-02-20 09:47:00,48
2022-02-20 09:48:00,49
2022-02-20 09:49:00,51
2022-02-20 09:50:00,53
2022-02-20 09:51:00,49
2022-02-20 09:52:00,52
2022-02-20 09:53:00,50
2022-02-20 09:54:00,50
2022-02-20 10:45:00,49
2022-02-20 10:46:00,51
2022-02-20 10:47:00,52
2022-02-20 10:48:00,50
2022-02-20 10:49:00,52
2022-02-20 10:50:00,52
2022-02-20 10:51:00,51
2022-02-20 10:52:00,52
2022-02-20 10:53:00,53
2022-02-20 10:54:00,52
2022-02-20 11:15:00,62
2022-02-20 11:16:00,60
2022-02-20 11:17:00,61
2022-02-20 11:18:00,62
2022-02-20 11:19:00,60
2022-02-20 11:20:00,61
2022-02-20 11:21:00,63
2022-02-20 11:22:00,60
2022-02-20 11:24:00,60
2022-02-20 11:25:00,62
2022-02-20 11:55:00,64
2022-02-20 11:56:00,63
2022-02-20 11:57:00,58
2022-02-20 11:58:00,60
2022-02-20 11:59:00,60
2022-02-20 12:00:00,55
2022-02-20 12:01:00,64
2022-02-20 12:02:00,63
2022-02-20 12:03:00,60
2022-02-20 12:04:00,62
2022-02-20 12:05:00,59
2022-02-20 12:06:00,60
2022-02-20 12:07:00,60
2022-02-20 12:08:00,64
2022-02-20 12:09:00,64
2022-02-20 12:10:00,58
2022-02-20 12:11:00,61
2022-02-20 12:12:00,61
2022-02-20 12:13:00,60
2022-02-20 12:14:00,61
2022-02-20 12:45:00,58
2022-02-20 12:46:00,57
2022-02-20 12:47:00,61
2022-02-20 12:48:00,62
2022-02-20 12:49:00,65
2022-02-20 12:50:00,63
2022-02-20 12:51:00,59
2022-02-20 12:52:00,61
2022-02-20 12:53:00,60
2022-02-20 12:54:00,62
2022-02-20 16:05:00,60
2022-02-20 16:06:00,56
2022-02-20 16:07:00,59
2022-02-20 16:08:00,62
2022-02-20 16:09:00,59
2022-02-20 16:10:00,59
2022-02-20 16:11:00,58
2022-02-20 16:12:00,58
