"Time","dt_sound_level_dB"
2022-02-20 00:22:00,47
2022-02-20 00:23:00,46
2022-02-20 00:24:00,46
2022-02-20 00:25:00,47
2022-02-20 00:26:00,46
2022-02-20 00:27:00,46
2022-02-20 00:28:00,47
2022-02-20 00:29:00,46
2022-02-20 00:30:00,46
2022-02-20 00:31:00,46
2022-02-20 00:43:00,46
2022-02-20 00:44:00,46
2022-02-20 00:45:00,48
2022-02-20 00:46:00,46
2022-02-20 00:47:00,46
2022-02-20 00:48:00,46
2022-02-20 00:49:00,46
2022-02-20 00:50:00,47
2022-02-20 00:51:00,47
2022-02-20 00:52:00,48
2022-02-20 01:53:00,46
2022-02-20 01:54:00,46
2022-02-20 01:55:00,47
2022-02-20 01:56:00,46
2022-02-20 01:57:00,46
2022-02-20 01:58:00,46
2022-02-20 01:59:00,47
2022-02-20 02:00:00,48
2022-02-20 02:01:00,46
2022-02-20 02:02:00,48
2022-02-20 02:03:00,48
2022-02-20 02:04:00,46
2022-02-20 02:05:00,46
2022-02-20 02:06:00,46
2022-02-20 02:07:00,46
2022-02-20 02:08:00,47
2022-02-20 02:09:00,46
2022-02-20 02:10:00,46
2022-02-20 02:11:00,46
2022-02-20 02:12:00,48
2022-02-20 02:13:00,46
2022-02-20 02:14:00,46
2022-02-20 02:15:00,46
2022-02-20 02:16:00,46
2022-02-20 02:17:00,46
2022-02-20 02:18:00,46
2022-02-20 02:19:00,46
2022-02-20 02:20:00,47
2022-02-20 02:21:00,47
2022-02-20 02:42:00,46
2022-02-20 02:43:00,46
2022-02-20 02:45:00,46
2022-02-20 02:46:00,46
2022-02-20 02:47:00,46
2022-02-20 02:48:00,46
2022-02-20 02:49:00,46
2022-02-20 02:50:00,46
2022-02-20 02:51:00,47
2022-02-20 02:52:00,47
2022-02-20 06:53:00,48
2022-02-20 06:54:00,46
2022-02-20 06:55:00,46
2022-02-20 06:56:00,46
2022-02-20 06:57:00,46
2022-02-20 06:58:00,46
2022-02-20 06:59:00,46
2022-02-20 07:00:00,46
2022-02-20 07:01:00,47
2022-02-20 07:12:00,47
2022-02-20 07:13:00,46
2022-02-20 07:14:00,46
