"Time","dt_sound_level_dB"
2022-02-20 00:09:00,53
2022-02-20 00:10:00,55
2022-02-20 00:11:00,52
2022-02-20 00:12:00,48
2022-02-20 00:13:00,51
2022-02-20 00:14:00,54
2022-02-20 00:15:00,55
2022-02-20 00:16:00,56
2022-02-20 00:17:00,52
2022-02-20 00:18:00,51
2022-02-20 00:19:00,54
2022-02-20 00:20:00,54
2022-02-20 00:21:00,54
2022-02-20 00:22:00,51
2022-02-20 00:23:00,51
2022-02-20 00:24:00,50
2022-02-20 00:25:00,56
2022-02-20 00:27:00,49
2022-02-20 00:28:00,51
2022-02-20 00:29:00,55
2022-02-20 00:50:00,52
2022-02-20 00:51:00,52
2022-02-20 00:52:00,54
2022-02-20 00:53:00,51
2022-02-20 00:54:00,54
2022-02-20 00:55:00,52
2022-02-20 00:56:00,56
2022-02-20 00:57:00,50
2022-02-20 00:58:00,47
2022-02-20 00:59:00,49
2022-02-20 01:50:00,52
2022-02-20 01:51:00,49
2022-02-20 01:52:00,52
2022-02-20 01:53:00,48
2022-02-20 01:54:00,48
2022-02-20 01:55:00,52
2022-02-20 01:56:00,54
2022-02-20 01:57:00,50
2022-02-20 01:58:00,47
2022-02-20 01:59:00,48
2022-02-20 02:09:00,52
2022-02-20 02:10:00,50
2022-02-20 02:11:00,50
2022-02-20 02:12:00,48
2022-02-20 02:13:00,47
2022-02-20 02:14:00,53
2022-02-20 02:15:00,49
2022-02-20 02:16:00,52
2022-02-20 02:17:00,50
2022-02-20 02:18:00,49
2022-02-20 02:30:00,51
2022-02-20 02:31:00,49
2022-02-20 02:32:00,50
2022-02-20 02:33:00,50
2022-02-20 02:34:00,48
2022-02-20 02:35:00,52
2022-02-20 02:36:00,52
2022-02-20 02:37:00,50
2022-02-20 02:38:00,51
2022-02-20 02:39:00,49
2022-02-20 06:50:00,52
2022-02-20 06:51:00,52
2022-02-20 06:52:00,50
2022-02-20 06:53:00,55
2022-02-20 06:54:00,53
2022-02-20 06:55:00,51
2022-02-20 06:56:00,51
2022-02-20 06:57:00,51
2022-02-20 06:58:00,49
2022-02-20 06:59:00,50
2022-02-20 07:00:00,52
2022-02-20 07:01:00,55
2022-02-20 07:02:00,54
2022-02-20 07:03:00,54
2022-02-20 07:04:00,49
2022-02-20 07:05:00,50
2022-02-20 07:06:00,51
2022-02-20 07:07:00,50
2022-02-20 07:08:00,56
2022-02-20 07:19:00,51
2022-02-20 07:20:00,54
2022-02-20 07:22:00,51
2022-02-20 07:23:00,52
2022-02-20 07:24:00,53
2022-02-20 07:25:00,51
2022-02-20 07:26:00,48
2022-02-20 07:27:00,53
2022-02-20 07:28:00,50
